time,value,date
14:36:26,84,2021-10-08 14:36:26
14:36:36,86,2021-10-08 14:36:36
14:36:41,88,2021-10-08 14:36:41
14:36:46,89,2021-10-08 14:36:46
14:36:51,88,2021-10-08 14:36:51
14:36:56,87,2021-10-08 14:36:56
14:37:01,88,2021-10-08 14:37:01
14:37:06,89,2021-10-08 14:37:06
14:37:16,91,2021-10-08 14:37:16
14:37:21,92,2021-10-08 14:37:21
14:37:26,98,2021-10-08 14:37:26
14:37:31,97,2021-10-08 14:37:31
14:37:36,98,2021-10-08 14:37:36
14:37:51,98,2021-10-08 14:37:51
14:38:01,97,2021-10-08 14:38:01
14:38:06,94,2021-10-08 14:38:06
14:38:11,91,2021-10-08 14:38:11
14:38:21,92,2021-10-08 14:38:21
14:38:26,91,2021-10-08 14:38:26
14:38:41,91,2021-10-08 14:38:41
14:38:46,89,2021-10-08 14:38:46
14:38:56,89,2021-10-08 14:38:56
14:39:01,90,2021-10-08 14:39:01
14:39:06,91,2021-10-08 14:39:06
14:39:11,93,2021-10-08 14:39:11
14:39:16,92,2021-10-08 14:39:16
14:39:21,93,2021-10-08 14:39:21
14:39:26,95,2021-10-08 14:39:26
14:39:31,97,2021-10-08 14:39:31
14:39:36,96,2021-10-08 14:39:36
14:39:41,96,2021-10-08 14:39:41
14:39:46,94,2021-10-08 14:39:46
14:39:51,93,2021-10-08 14:39:51
14:40:06,95,2021-10-08 14:40:06
14:40:16,94,2021-10-08 14:40:16
14:40:21,95,2021-10-08 14:40:21
14:40:26,94,2021-10-08 14:40:26
14:40:36,95,2021-10-08 14:40:36
14:40:41,95,2021-10-08 14:40:41
14:40:46,96,2021-10-08 14:40:46
14:40:51,93,2021-10-08 14:40:51
14:40:56,92,2021-10-08 14:40:56
14:41:06,91,2021-10-08 14:41:06
14:41:11,92,2021-10-08 14:41:11
14:41:16,90,2021-10-08 14:41:16
14:41:26,92,2021-10-08 14:41:26
14:41:36,90,2021-10-08 14:41:36
14:41:46,89,2021-10-08 14:41:46
14:41:56,88,2021-10-08 14:41:56
14:42:11,88,2021-10-08 14:42:11
14:42:16,91,2021-10-08 14:42:16
14:42:21,90,2021-10-08 14:42:21
14:42:26,94,2021-10-08 14:42:26
14:42:41,91,2021-10-08 14:42:41
14:42:51,92,2021-10-08 14:42:51
14:42:56,89,2021-10-08 14:42:56
14:43:01,87,2021-10-08 14:43:01
14:43:06,88,2021-10-08 14:43:06
14:43:16,85,2021-10-08 14:43:16
14:43:21,85,2021-10-08 14:43:21
14:43:26,84,2021-10-08 14:43:26
14:43:31,85,2021-10-08 14:43:31
14:43:36,84,2021-10-08 14:43:36
14:43:46,85,2021-10-08 14:43:46
14:43:51,86,2021-10-08 14:43:51
14:43:56,87,2021-10-08 14:43:56
